Starting experiment with learning rate 0.01
Epoch=0128, t_cost=0.066973858, t_acc=0.9815, t_err=276.9998, v_cost=3.411545992, v_acc=0.9100, v_err=90.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0129, t_cost=0.111824796, t_acc=0.9601, t_err=598.0003, v_cost=3.242244720, v_acc=0.8880, v_err=112.0000, te_acc=0.8897, te_err=300.0000 
Epoch=0130, t_cost=0.057996221, t_acc=0.9815, t_err=276.9998, v_cost=3.266951561, v_acc=0.9110, v_err=89.0000, te_acc=0.9070, te_err=253.0000 
Epoch=0131, t_cost=0.057189438, t_acc=0.9841, t_err=239.0000, v_cost=3.317506790, v_acc=0.9220, v_err=78.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0132, t_cost=0.062229432, t_acc=0.9815, t_err=276.9998, v_cost=3.177788258, v_acc=0.9200, v_err=80.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0133, t_cost=0.068144456, t_acc=0.9835, t_err=247.0002, v_cost=4.065247536, v_acc=0.9250, v_err=75.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0134, t_cost=0.112553172, t_acc=0.9805, t_err=291.9996, v_cost=3.716709614, v_acc=0.9180, v_err=82.0000, te_acc=0.9088, te_err=247.9999 
Epoch=0135, t_cost=0.098227508, t_acc=0.9813, t_err=280.0003, v_cost=3.500464678, v_acc=0.9230, v_err=77.0000, te_acc=0.9074, te_err=252.0000 
Epoch=0136, t_cost=0.082224116, t_acc=0.9819, t_err=272.0001, v_cost=3.647680283, v_acc=0.9100, v_err=90.0000, te_acc=0.9096, te_err=246.0000 
Epoch=0137, t_cost=0.065114900, t_acc=0.9845, t_err=232.9999, v_cost=3.528013706, v_acc=0.9200, v_err=80.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0138, t_cost=0.040548794, t_acc=0.9874, t_err=189.0001, v_cost=3.340137243, v_acc=0.9200, v_err=80.0000, te_acc=0.9129, te_err=237.0000 
Epoch=0139, t_cost=0.060212467, t_acc=0.9867, t_err=199.9998, v_cost=3.413819313, v_acc=0.9240, v_err=76.0000, te_acc=0.9110, te_err=242.0000 
Epoch=0140, t_cost=0.067791261, t_acc=0.9833, t_err=251.0002, v_cost=3.822170496, v_acc=0.9130, v_err=87.0000, te_acc=0.9125, te_err=237.9999 
Epoch=0141, t_cost=0.075028196, t_acc=0.9832, t_err=251.9998, v_cost=3.762624025, v_acc=0.9140, v_err=86.0000, te_acc=0.9085, te_err=248.9999 
Epoch=0142, t_cost=0.081360757, t_acc=0.9821, t_err=268.9996, v_cost=3.861024380, v_acc=0.9150, v_err=85.0000, te_acc=0.9096, te_err=246.0000 
Epoch=0143, t_cost=0.092789628, t_acc=0.9802, t_err=297.0001, v_cost=3.732171535, v_acc=0.9080, v_err=92.0000, te_acc=0.9110, te_err=242.0000 
Epoch=0144, t_cost=0.073365547, t_acc=0.9840, t_err=239.9996, v_cost=4.139575005, v_acc=0.9130, v_err=87.0000, te_acc=0.9132, te_err=236.0000 
Epoch=0145, t_cost=0.154433817, t_acc=0.9794, t_err=309.0003, v_cost=3.890013933, v_acc=0.9080, v_err=92.0000, te_acc=0.9048, te_err=258.9999 
Epoch=0146, t_cost=0.107953578, t_acc=0.9817, t_err=274.0002, v_cost=4.420726776, v_acc=0.9130, v_err=87.0000, te_acc=0.9044, te_err=259.9999 
Epoch=0147, t_cost=0.089506350, t_acc=0.9803, t_err=295.0001, v_cost=3.875533581, v_acc=0.9060, v_err=94.0000, te_acc=0.9066, te_err=254.0000 
Epoch=0148, t_cost=0.060026716, t_acc=0.9833, t_err=249.9998, v_cost=4.229625702, v_acc=0.9050, v_err=95.0000, te_acc=0.9132, te_err=236.0000 
Epoch=0149, t_cost=0.041009061, t_acc=0.9859, t_err=211.0004, v_cost=4.052414894, v_acc=0.9070, v_err=93.0000, te_acc=0.9129, te_err=237.0000 
Epoch=0150, t_cost=0.043427628, t_acc=0.9856, t_err=216.0001, v_cost=4.050781250, v_acc=0.9060, v_err=94.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0151, t_cost=0.040306561, t_acc=0.9865, t_err=203.0003, v_cost=4.065936565, v_acc=0.9080, v_err=92.0000, te_acc=0.9125, te_err=237.9999 
Epoch=0152, t_cost=0.047890384, t_acc=0.9851, t_err=222.9998, v_cost=4.286276340, v_acc=0.9100, v_err=90.0000, te_acc=0.9099, te_err=245.0000 
Epoch=0153, t_cost=0.047654051, t_acc=0.9846, t_err=230.9999, v_cost=4.173260212, v_acc=0.9090, v_err=91.0000, te_acc=0.9070, te_err=253.0000 
Epoch=0154, t_cost=0.050998658, t_acc=0.9837, t_err=245.0001, v_cost=4.153781891, v_acc=0.9090, v_err=91.0000, te_acc=0.9081, te_err=250.0001 
Epoch=0155, t_cost=0.039061792, t_acc=0.9865, t_err=203.0003, v_cost=4.272753716, v_acc=0.9090, v_err=91.0000, te_acc=0.9107, te_err=243.0000 
Epoch=0156, t_cost=0.037315730, t_acc=0.9869, t_err=195.9997, v_cost=4.295890331, v_acc=0.9110, v_err=89.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0157, t_cost=0.117859893, t_acc=0.9821, t_err=268.0001, v_cost=4.344020844, v_acc=0.9110, v_err=89.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0158, t_cost=0.052385096, t_acc=0.9853, t_err=220.0001, v_cost=4.515436172, v_acc=0.9090, v_err=91.0000, te_acc=0.9088, te_err=247.9999 
